review,class,segmenter
Like I said the the girl was very bad,Reception Staff Profesionalism & Attitude,spacy
Receptionist are very accommodating.,Reception Staff Profesionalism & Attitude,spacy
No. very happy. Also friendly and helpful receptions staff,Reception Staff Profesionalism & Attitude,sentence_transformer
More attention from your staff to citizens that are part of the GP.,Reception Staff Profesionalism & Attitude,spacy
The gent I spoke too on the phone on reception could not have been more helpful and lovely I could not speak highly enough of him,Reception Staff Profesionalism & Attitude,sentence_transformer
I asked the reception to never book me up with the last Gp,Reception Staff Profesionalism & Attitude,sentence_transformer
Most of the staff at reception do their best to address queries and concerns,Reception Staff Profesionalism & Attitude,sentence_transformer
Staff members were all kind and very helpful.,Reception Staff Profesionalism & Attitude,sentence_transformer
They are so good and helpful and easygoing,Reception Staff Profesionalism & Attitude,sentence_transformer
The sea Matheo it’s very good,Reception Staff Profesionalism & Attitude,spacy
Reception staff lack knowledge and made unsuitable appointment and gave me wrong information,Reception Staff Profesionalism & Attitude,sentence_transformer
receptionists are brilliant,Reception Staff Profesionalism & Attitude,sentence_transformer
The receptionist are also very patient and efficient,Reception Staff Profesionalism & Attitude,sentence_transformer
cannot fault them! However. the reception staff are very rude and inconsiderate,Reception Staff Profesionalism & Attitude,sentence_transformer
Francesca was great,Reception Staff Profesionalism & Attitude,sentence_transformer
The receptionist as always was very helpful and everything I asked for was achieved,Reception Staff Profesionalism & Attitude,sentence_transformer
some of the receptionist need some improvement how to speak on the phone to patients,Reception Staff Profesionalism & Attitude,sentence_transformer
The receptionist was very courteous and efficient,Reception Staff Profesionalism & Attitude,sentence_transformer
The front desk ladies are very unkind and passive aggressive,Reception Staff Profesionalism & Attitude,sentence_transformer
Good receptionist sorted out problem straight away,Reception Staff Profesionalism & Attitude,sentence_transformer
no rude gatekeepers at reception.,Reception Staff Profesionalism & Attitude,llm
Juliette and Rebecca are always extremely helpful and polite.,Reception Staff Profesionalism & Attitude,sentence_transformer
So far Dr Squires and Dr Aziz have been very attentive,Reception Staff Profesionalism & Attitude,sentence_transformer
when i book for appointment the receptionist was accomodating,Reception Staff Profesionalism & Attitude,sentence_transformer
knowledgeable and patient when I meet them or talk over the phone,Telephone & Digital Access & Services,spacy
The call handling process has improved.,Telephone & Digital Access & Services,spacy
After asking through Patches a referral for my son. the doctor called me 5 days later telling me I should come to C&W ER to do the follow up of my son's broken collar bone and would send a letter to them to tell them what was going on. Im here at C&W hospital,Telephone & Digital Access & Services,sentence_transformer
I even waited for the next working day (which is Monday- today) but no one called.,Telephone & Digital Access & Services,llm
More online services would be brilliant! 📊 Being able to book appointments and order prescriptions from the comfort of your own home would save so much time and hassle,Telephone & Digital Access & Services,sentence_transformer
being able to access test results online would be really helpful,Telephone & Digital Access & Services,sentence_transformer
They don’t manage their online presence,Telephone & Digital Access & Services,sentence_transformer
You have to do it through Patches. but then if you can't make the time that is automatically allocated. you have to call anyway. The process is confusing,Telephone & Digital Access & Services,sentence_transformer
Would be great to be able to book appointments using the app.,Telephone & Digital Access & Services,spacy
answering time is minimal and I’m always put through quickly to very pleasant staff,Telephone & Digital Access & Services,sentence_transformer
I find PACHS a very difficult messaging system,Telephone & Digital Access & Services,sentence_transformer
The initial recorded message when the phone is answered has recently been updated so it isn’t so long and is more relevant,Telephone & Digital Access & Services,sentence_transformer
I like being told where I am in the queue so I can choose to hang on or ring back,Telephone & Digital Access & Services,sentence_transformer
The Dr phoned as booked,Telephone & Digital Access & Services,sentence_transformer
I was not aware that there is a practice website,Telephone & Digital Access & Services,sentence_transformer
Might be a Good idea to send a email or preferable text,Telephone & Digital Access & Services,sentence_transformer
advertising that online facility,Telephone & Digital Access & Services,sentence_transformer
I cooked today to be told that doctor will ring or text me in two days,Telephone & Digital Access & Services,sentence_transformer
Restore medication and admin contacts with the surgery via Patches.,Telephone & Digital Access & Services,sentence_transformer
The app itself is not too bad - but it leads to DrDoctor,Telephone & Digital Access & Services,spacy
Patients Know Best and often the documents highlgihted as there are not found.,Telephone & Digital Access & Services,spacy
I get a call back from a GP on duty quickly,Telephone & Digital Access & Services,sentence_transformer
I’ve been screamed on the phone when following up on advice from a midwife and made to feel stupid,Telephone & Digital Access & Services,sentence_transformer
Had no problems with telephone call,Telephone & Digital Access & Services,sentence_transformer
I phoned for advice on changing pharmacy details on my on-line prescription details,Telephone & Digital Access & Services,sentence_transformer
I find telephone appointments Very good there is nothing that could improve them for myself,Telephone & Digital Access & Services,sentence_transformer
My appointment was in the Chelsea Manor Street site but this was not in the txt message.,Telephone & Digital Access & Services,sentence_transformer
with whom I had a telephone appmt a while ago,Telephone & Digital Access & Services,sentence_transformer
whoever drew up this form is unqualified in statisitical measures and accuracy,Telephone & Digital Access & Services,sentence_transformer
A very professional lady (Mary) from Suvera rang me on 22 7,Telephone & Digital Access & Services,sentence_transformer
this was not an in-person appointment at my GP surgery!,Telephone & Digital Access & Services,sentence_transformer
Just answering the calls could improve like the waiting times to be answered as sometimes it's a long wait.,Telephone & Digital Access & Services,sentence_transformer
Not on the phone.,Telephone & Digital Access & Services,sentence_transformer
I think the website has recently changed and I cant seem to do as much online as previously? for example,Telephone & Digital Access & Services,sentence_transformer
emailing the clinic is now difficult as I need to use another platform and my passwords never work on that platform as well as they did directly on the Stanhope Mews website. So I end up having to ring the Clinic more than I used to,Telephone & Digital Access & Services,sentence_transformer
organised an x-ray and enabled me to get a ct scan,Test Results & Follow-up,sentence_transformer
She ask me to do blood test and forgot to do print it out,Test Results & Follow-up,sentence_transformer
ItÂƒ??s just to make MRI scan waiting time to be shorter in order to make faster diagnosis,Test Results & Follow-up,sentence_transformer
Highly professional and excellent follow up for the over 60’s and those with auto immune issues .,Test Results & Follow-up,sentence_transformer
Wrong documents given by reception staff for hospital blood tests,Test Results & Follow-up,sentence_transformer
unexpectedly calls me to follow up,Test Results & Follow-up,sentence_transformer
its not easy trying to remember instructions and information,Test Results & Follow-up,sentence_transformer
organised an x-ray and enabled me to get a ct scan,Test Results & Follow-up,sentence_transformer
I had two appointments at the Chelsea/Westminster,Test Results & Follow-up,sentence_transformer
One with a consultant in the Vascular Department and the other with a consultant in the Urology Department. Both have referred me for tests and scans,Test Results & Follow-up,sentence_transformer
Was expecting some information bit it never came,Test Results & Follow-up,sentence_transformer
"She also used her initiative with follow ups rather then just leaving this matter, which no Dr at the surgery previously did.",Test Results & Follow-up,sentence_transformer
They have both followed up after consultations. I was able to get either a telephone appointment quickly and if I needed a follow up appointment in person your reception did their best to get one within 48hrs of my call,Test Results & Follow-up,sentence_transformer
I could see the stop smoking advisor within one week.,Health Promotion,sentence_transformer
I had an NHS Health check and everything looks good with my health.,Health Promotion,sentence_transformer
My blood pressure check at the pharmacy was reassuring.,Health Promotion,sentence_transformer
"I have an ABPM with the HCA, he was very thorough.",Health Promotion,sentence_transformer
"Spirometry with the nurse next week, to see how my COPD is getting on.",Health Promotion,sentence_transformer
I am at high risk of diabetes so essesntial I can see the nurse for lifestyle advice.,Health Promotion,sentence_transformer
The nurse gave me really useful advice on how to manage my weight and improve my diet.,Health Promotion,sentence_transformer
I appreciated the leaflets and information they provided about stopping smoking.,Health Promotion,sentence_transformer
The practice has been great at encouraging regular blood pressure checks.,Health Promotion,sentence_transformer
"The Pod in reception is great, I can pop in any time to check my blood pressure or BP",Health Promotion,sentence_transformer
The practice offers good support for people trying to lose weight.,Health Promotion,sentence_transformer
I learned a lot about managing stress and improving my sleep.,Health Promotion,sentence_transformer
The referral to SleepStation really helped me with my sleep.,Health Promotion,sentence_transformer
"It feels like they genuinely care about keeping patients healthy, not just treating illness.",Health Promotion,sentence_transformer
I like that I usually see the same GP who knows my history well.,Continuity of Care,sentence_transformer
It’s reassuring to talk to a doctor who remembers my past health issues.,Continuity of Care,sentence_transformer
Continuity of care has made a big difference in how confident I feel about my treatment.,Continuity of Care,sentence_transformer
I really appreciate being able to see the same nurse each time for my check-ups.,Continuity of Care,sentence_transformer
Having one GP who follows up on my progress helps me feel supported.,Continuity of Care,sentence_transformer
It saves a lot of time not having to repeat my story to a different doctor every visit.,Continuity of Care,sentence_transformer
My long-term condition is much better managed because of consistent care from the same clinician.,Continuity of Care,sentence_transformer
It feels more personal when the doctor already understands my situation.,Continuity of Care,sentence_transformer
I like that my GP checks in regularly and keeps track of my test results.,Continuity of Care,sentence_transformer
Seeing familiar staff each time makes the whole experience less stressful.,Continuity of Care,sentence_transformer
The continuity between appointments has improved my trust in the practice.,Continuity of Care,sentence_transformer
It’s great that my care feels joined up and well coordinated.,Continuity of Care,sentence_transformer
I value how my doctor keeps a close eye on my ongoing health concerns.,Continuity of Care,sentence_transformer
"I’ve built a good relationship with my GP over time, which makes it easier to discuss sensitive issues.",Continuity of Care,sentence_transformer
Having consistent follow-up appointments has helped me stay on top of my treatment plan.,Continuity of Care,sentence_transformer
"MCMW is brilliant, they always help me get to my eye screening appointment.",Continuity of Care,sentence_transformer
"The lady Sara from My Care My Way is very friendly and it is great that I can see her all the time, she understands me so well.",Continuity of Care,sentence_transformer
When you are as old as I am you appreciate seeing the same people at the surgery.,Continuity of Care,sentence_transformer
"want the same doctors, all the time.",Continuity of Care,sentence_transformer
The practice is always clean and well maintained.,Facilities & Cleanliness,sentence_transformer
I noticed the waiting area is spotless and comfortable.,Facilities & Cleanliness,sentence_transformer
"The toilets are clean and stocked, which makes a big difference.",Facilities & Cleanliness,sentence_transformer
The facilities are modern and welcoming.,Facilities & Cleanliness,sentence_transformer
Everything looks tidy and organised whenever I visit.,Facilities & Cleanliness,sentence_transformer
The clinical rooms are clean and feel very hygienic.,Facilities & Cleanliness,sentence_transformer
I appreciate how often the chairs and surfaces are wiped down.,Facilities & Cleanliness,sentence_transformer
The building feels safe and well cared for.,Facilities & Cleanliness,sentence_transformer
There’s always hand sanitiser available at the entrance.,Facilities & Cleanliness,sentence_transformer
"The waiting room is bright, clean, and pleasant to sit in.",Facilities & Cleanliness,sentence_transformer
The reception area looks professional and well kept.,Facilities & Cleanliness,sentence_transformer
I feel confident that the practice maintains high hygiene standards.,Facilities & Cleanliness,sentence_transformer
"The practice is always clean, even during busy times.",Facilities & Cleanliness,sentence_transformer
It’s nice to see the staff regularly cleaning shared areas.,Facilities & Cleanliness,sentence_transformer
"The environment feels calm, clean, and welcoming every time I come in.",Facilities & Cleanliness,sentence_transformer
I received my test results quickly and was kept well informed.,Test Results & Follow-up,sentence_transformer
"The nurse called me to explain my blood results clearly, which I appreciated.",Test Results & Follow-up,sentence_transformer
It was helpful that I got a text message as soon as my results were ready.,Test Results & Follow-up,sentence_transformer
My GP followed up promptly after my tests and discussed the next steps.,Test Results & Follow-up,sentence_transformer
I felt reassured because the doctor took time to explain what my results meant.,Test Results & Follow-up,sentence_transformer
The practice was efficient in booking a follow-up appointment after my test.,Test Results & Follow-up,sentence_transformer
Communication about my test results was clear and timely.,Test Results & Follow-up,sentence_transformer
I’m happy with how smoothly the follow-up process was handled.,Test Results & Follow-up,sentence_transformer
"I had to chase several times to get my test results, which was frustrating.",Test Results & Follow-up,sentence_transformer
It took too long for the practice to contact me about my blood test.,Test Results & Follow-up,sentence_transformer
"No one explained what my results meant, leaving me confused and anxious.",Test Results & Follow-up,sentence_transformer
I didn’t get a call back after being told someone would follow up.,Test Results & Follow-up,sentence_transformer
It’s difficult to get information about results without making multiple phone calls.,Test Results & Follow-up,sentence_transformer
The system for sharing test results could be more organised.,Test Results & Follow-up,sentence_transformer
I wish the practice communicated more quickly after tests are done.,Test Results & Follow-up,sentence_transformer
"My PSA was due last week, but the nurse phones me in time to come for it.",Test Results & Follow-up,sentence_transformer
The practice manager was very understanding when I raised my concern.,Feedback & Complaints Process,sentence_transformer
I felt listened to and taken seriously when I gave feedback about my experience.,Feedback & Complaints Process,sentence_transformer
The complaints process was clear and handled professionally.,Feedback & Complaints Process,sentence_transformer
My issue was resolved quickly after I spoke with the practice manager.,Feedback & Complaints Process,sentence_transformer
It’s good that the practice welcomes feedback and actually acts on it.,Feedback & Complaints Process,sentence_transformer
I appreciated how the practice manager followed up personally after my complaint.,Feedback & Complaints Process,sentence_transformer
They took the time to explain what changes would be made as a result of my feedback.,Feedback & Complaints Process,sentence_transformer
I felt reassured that my opinion was valued and that the practice cared about improving.,Feedback & Complaints Process,sentence_transformer
I never got a proper response after submitting my complaint.,Feedback & Complaints Process,sentence_transformer
The complaints process felt slow and unhelpful.,Feedback & Complaints Process,sentence_transformer
It was difficult to find out how to give feedback or who to speak to.,Feedback & Complaints Process,sentence_transformer
I felt dismissed when I tried to raise a concern with reception staff.,Feedback & Complaints Process,sentence_transformer
"The practice manager didn’t respond to my email, which was disappointing.",Feedback & Complaints Process,sentence_transformer
My complaint was acknowledged but nothing seemed to change afterwards.,Feedback & Complaints Process,sentence_transformer
It feels like there’s no real point in giving feedback because nothing happens.,Feedback & Complaints Process,sentence_transformer
I will tell you as it is.,Feedback & Complaints Process,sentence_transformer
